Player,Mean Possibilities,Maximum Possibilities,Mean Decrease in Possibilities
Brandon Williams,25.61,99,94.84%
Jonas Valanciunas,25.74,169,94.81%
Ish Smith,25.82,156,94.80%
Seth Curry,26.02,144,94.75%
Jusuf Nurkic,26.06,127,94.75%
Dennis Schroder,26.08,102,94.74%
Luka Garza,26.11,96,94.74%
Goran Dragic,26.25,169,94.71%
Mike Conley,26.36,170,94.69%
Damian Jones,26.36,103,94.68%
Jock Landale,26.49,89,94.66%
Gorgui Dieng,26.65,202,94.63%
Olivier Sarr,26.83,126,94.59%
DeMarcus Cousins,27.47,181,94.46%
Ivica Zubac,27.67,83,94.42%
John Wall,27.78,134,94.40%
Garrett Temple,27.79,87,94.40%
Andre Drummond,28.29,138,94.30%
Patty Mills,29.57,163,94.04%
George Hill,29.58,148,94.04%
Wayne Ellington,29.59,139,94.03%
Sharife Cooper,29.98,136,93.96%
Nicolas Batum,29.98,115,93.96%
Goga Bitadze,30.05,90,93.94%
Eric Bledsoe,30.75,157,93.80%
Lou Williams,32.01,166,93.55%
Derrick Rose,32.02,157,93.54%
LaMarcus Aldridge,33.50,147,93.25%
Kyle Lowry,33.70,170,93.21%
Reggie Jackson,33.82,148,93.18%
Stephen Curry,34.12,165,93.12%
Alex Len,34.83,180,92.98%
DeAndre Jordan,34.84,239,92.97%
Joe Ingles,35.10,118,92.92%
Udonis Haslem,35.26,140,92.89%
Omer Yurtseven,35.33,119,92.88%
Damian Lillard,35.50,145,92.84%
Willie Cauley-Stein,37.50,164,92.44%
Russell Westbrook,37.65,150,92.41%
Evan Mobley,39.48,202,92.04%
Brook Lopez,40.73,255,91.79%
Taj Gibson,40.88,145,91.76%
Ricky Rubio,41.21,142,91.69%
Al Horford,41.83,140,91.57%
Rudy Gobert,45.00,191,90.93%
Neemias Queta,45.27,142,90.87%
Dwight Howard,45.45,131,90.84%
Chris Paul,49.16,187,90.09%
Alperen Sengun,50.33,201,89.85%
Hassan Whiteside,50.39,238,89.84%
Dewayne Dedmon,50.64,250,89.79%
Rajon Rondo,50.71,181,89.78%
JaVale McGee,52.83,152,89.35%
James Wiseman,61.00,212,87.70%
Robin Lopez,82.85,261,83.30%
Boban Marjanovic,106.32,265,78.57%
