player,playerId,team,teamId,conference,division,age,position,jersey,height,teams
Cameron Johnson,1629661,PHX,1610612756,west,pacific,25,F,23.0,80,PHX
Cameron Payne,1626166,PHX,1610612756,west,pacific,27,G,15.0,73,PHX.CLE.CHI.OKC
Caris LeVert,1627747,CLE,1610612739,east,central,27,G,3.0,78,CLE.IND.BKN
Carmelo Anthony,2546,LAL,1610612747,west,pacific,37,F,7.0,79,LAL.POR.HOU.OKC.NYK.DEN
Cassius Winston,1630216,WAS,1610612764,east,southeast,24,G,5.0,73,WAS
Cedi Osman,1626224,CLE,1610612739,east,central,26,F,16.0,79,CLE
Charles Bassey,1629646,PHI,1610612755,east,atlantic,21,C-F,23.0,81,PHI
Charlie Brown Jr.,1629718,PHI,1610612755,east,atlantic,25,G,16.0,78,PHI.DAL.OKC.ATL
Chimezie Metu,1629002,SAC,1610612758,west,pacific,24,F-C,7.0,81,SAC.SAS
Chris Boucher,1628449,TOR,1610612761,east,atlantic,29,F-C,25.0,81,TOR.GSW
Chris Chiozza,1629185,GSW,1610612744,west,pacific,26,G,2.0,71,GSW.BKN.WAS.HOU
Chris Duarte,1630537,IND,1610612754,east,central,24,G,3.0,77,IND
Chris Paul,101108,PHX,1610612756,west,pacific,36,G,3.0,72,PHX.OKC.HOU.LAC.NOH.NOK
Chris Smith,1630607,DET,1610612765,east,central,22,F,0.0,81,DET
Christian Wood,1626174,HOU,1610612745,west,southwest,26,F,35.0,81,HOU.DET.NOP.MIL.CHA.PHI
Chuma Okeke,1629643,ORL,1610612753,east,southeast,23,F,3.0,78,ORL
Clint Capela,203991,ATL,1610612737,east,southeast,27,C,15.0,82,ATL.HOU
Coby White,1629632,CHI,1610612741,east,central,22,G,0.0,76,CHI
Cody Martin,1628998,CHA,1610612766,east,southeast,26,F,11.0,78,CHA
Cole Anthony,1630175,ORL,1610612753,east,southeast,21,G,50.0,75,ORL
Collin Sexton,1629012,CLE,1610612739,east,central,23,G,2.0,73,CLE
Corey Kispert,1630557,WAS,1610612764,east,southeast,22,F,24.0,78,WAS
Cory Joseph,202709,DET,1610612765,east,central,30,G,18.0,75,DET.SAC.IND.TOR.SAS
D'Angelo Russell,1626156,MIN,1610612750,west,northwest,26,G,0.0,76,MIN.GSW.BKN.LAL
D.J. Wilson,1628391,TOR,1610612761,east,atlantic,26,F,9.0,82,TOR.HOU.MIL
Daishen Nix,1630227,HOU,1610612745,west,southwest,20,G,15.0,76,HOU
Dalano Banton,1630625,TOR,1610612761,east,atlantic,22,F,45.0,79,TOR
Damian Jones,1627745,SAC,1610612758,west,pacific,26,C,30.0,83,SAC.LAL.PHX.ATL.GSW
Damian Lillard,203081,POR,1610612757,west,northwest,31,G,0.0,74,POR
Damion Lee,1627814,GSW,1610612744,west,pacific,29,G-F,1.0,77,GSW.ATL
Daniel Gafford,1629655,WAS,1610612764,east,southeast,23,F-C,21.0,81,WAS.CHI
Daniel Theis,1628464,BOS,1610612738,east,atlantic,29,F-C,27.0,81,BOS.HOU.CHI
Danilo Gallinari,201568,ATL,1610612737,east,southeast,33,F,8.0,82,ATL.OKC.LAC.DEN.NYK
Danny Green,201980,PHI,1610612755,east,atlantic,34,G,14.0,78,PHI.LAL.TOR.SAS.CLE
Danuel House Jr.,1627863,UTA,1610612762,west,northwest,28,F-G,25.0,78,UTA.NYK.HOU.PHX.WAS
Dario Saric,203967,PHX,1610612756,west,pacific,27,F-C,20.0,82,PHX.MIN.PHI
Darius Bazley,1629647,OKC,1610612760,west,northwest,21,F,7.0,80,OKC
Darius Garland,1629636,CLE,1610612739,east,central,22,G,10.0,73,CLE
David Duke Jr.,1630561,BKN,1610612751,east,atlantic,22,G,6.0,76,BKN
David Johnson,1630525,TOR,1610612761,east,atlantic,21,G,13.0,76,TOR
David Nwaba,1628021,HOU,1610612745,west,southwest,29,G-F,2.0,77,HOU.BKN.CLE.CHI.LAL
Davion Mitchell,1630558,SAC,1610612758,west,pacific,23,G,15.0,72,SAC
Davis Bertans,202722,DAL,1610612742,west,southwest,29,F,42.0,82,DAL.WAS.SAS
Davon Reed,1628432,DEN,1610612743,west,northwest,26,G,9.0,77,DEN.IND.PHX
Day'Ron Sharpe,1630549,BKN,1610612751,east,atlantic,20,F,20.0,81,BKN
De'Aaron Fox,1628368,SAC,1610612758,west,pacific,24,G,5.0,75,SAC
De'Andre Hunter,1629631,ATL,1610612737,east,southeast,24,F-G,12.0,80,ATL
De'Anthony Melton,1629001,MEM,1610612763,west,southwest,23,G,0.0,74,MEM.PHX
DeAndre Jordan,201599,LAL,1610612747,west,pacific,33,C,10.0,83,LAL.BKN.NYK.DAL.LAC
DeAndre' Bembry,1627761,MIL,1610612749,east,central,27,G-F,95.0,77,MIL.BKN.TOR.ATL
DeMar DeRozan,201942,CHI,1610612741,east,central,32,G-F,11.0,78,CHI.SAS.TOR
DeMarcus Cousins,202326,DEN,1610612743,west,northwest,31,C,4.0,82,DEN.MIL.LAC.HOU.GSW.NOP.SAC
Dean Wade,1629731,CLE,1610612739,east,central,25,F-C,32.0,81,CLE
Deandre Ayton,1629028,PHX,1610612756,west,pacific,23,C,22.0,83,PHX
Dejounte Murray,1627749,SAS,1610612759,west,southwest,25,G,5.0,76,SAS
Delon Wright,1626153,ATL,1610612737,east,southeast,29,G,0.0,77,ATL.SAC.DET.DAL.MEM.TOR
Deni Avdija,1630166,WAS,1610612764,east,southeast,21,F,9.0,81,WAS
Dennis Schroder,203471,HOU,1610612745,west,southwest,28,G,71.0,73,HOU.BOS.LAL.OKC.ATL
Derrick Favors,202324,OKC,1610612760,west,northwest,30,F,15.0,81,OKC.UTA.NOP.NJN
Derrick Jones Jr.,1627884,CHI,1610612741,east,central,25,F,5.0,78,CHI.POR.MIA.PHX
Derrick Rose,201565,NYK,1610612752,east,atlantic,33,G,4.0,74,NYK.DET.MIN.CLE.CHI
Derrick White,1628401,BOS,1610612738,east,atlantic,27,G,9.0,76,BOS.SAS
Desmond Bane,1630217,MEM,1610612763,west,southwest,23,G,22.0,77,MEM
Devin Booker,1626164,PHX,1610612756,west,pacific,25,G,1.0,77,PHX
Devin Vassell,1630170,SAS,1610612759,west,southwest,21,G-F,24.0,77,SAS
Devontae Cacok,1629719,SAS,1610612759,west,southwest,25,F,18.0,79,SAS.LAL
Devonte' Graham,1628984,NOP,1610612740,west,southwest,27,G,4.0,73,NOP.CHA
Dewayne Dedmon,203473,MIA,1610612748,east,southeast,32,C,21.0,84,MIA.ATL.SAC.SAS.ORL.PHI.GSW
Didi Louzada,1629712,POR,1610612757,west,northwest,22,G,35.0,77,NOP
Dillon Brooks,1628415,MEM,1610612763,west,southwest,26,G-F,24.0,79,MEM
Domantas Sabonis,1627734,SAC,1610612758,west,pacific,25,F-C,10.0,83,SAC.IND.OKC
Donovan Mitchell,1628378,UTA,1610612762,west,northwest,25,G,45.0,73,UTA
Donte DiVincenzo,1628978,SAC,1610612758,west,pacific,25,G,0.0,76,SAC.MIL
Dorian Finney-Smith,1627827,DAL,1610612742,west,southwest,28,F,10.0,79,DAL
Doug McDermott,203926,SAS,1610612759,west,southwest,30,F,17.0,79,SAS.IND.DAL.NYK.OKC.CHI
Draymond Green,203110,GSW,1610612744,west,pacific,31,F,23.0,78,GSW
Drew Eubanks,1629234,POR,1610612757,west,northwest,25,F-C,14.0,81,POR.SAS
Duane Washington Jr.,1630613,IND,1610612754,east,central,21,G,4.0,75,IND
Duncan Robinson,1629130,MIA,1610612748,east,southeast,27,F,55.0,79,MIA
